	V5	V2	V3	V4	SC_NH4_GAL_20181023	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	V1	Size	InData	FracInData
515	complex515	Baryshnikova2010	YDL216C; YDR179C; YIL071C; YJR084W; YMR025W; YOL117W	RRI1; CSN9; PCI8; YJR084W; CSI1; RRI2	-0.32	-0.04	0.16	-0.11	0.35	-0.03	0.17	signalosome complex	6	5	0.83
79	complex79	Benschop2010	YBR114W; YGR003W; YJR052W; YNL230C; YPL046C	RAD16; CUL3; RAD7; ELA1; ELC1	-0.01	0.19	0.18	-0.07	0.08	-0.48	-0.23	Cul3-RING ubiquitin ligase complex (GO)	5	4	0.80
103	complex103	Baryshnikova2010	YBR170C; YDL126C; YIL030C; YML013W; YMR264W	NPL4; CDC48; SSM4; UBX2; CUE1	0.17	-0.29	-0.04	-0.11	-0.34	0.14	-0.38	Doa10p ubiquitin ligase complex	5	4	0.80
115	complex115	Baryshnikova2010	YCL045C; YGL231C; YJR088C; YKL207W; YLL014W	EMC1; EMC4; EMC2; EMC3; EMC6	-0.42	-0.64	-0.59	-0.78	-0.57	-0.62	-0.30	emc complex	5	4	0.80
129	complex129	Baryshnikova2010	YGL049C; YGR162W; YJL138C; YKR059W; YOL139C	TIF4632; TIF4631; TIF2; TIF1; CDC33	0.34	0.14	-0.57	-1.63	-0.16	-1.25	-0.63	eukaryotic translation initiation factor 4F complex (AB)	5	4	0.80
150	complex150	Baryshnikova2010	YBR077C; YGR163W; YKL143W; YKR007W; YML121W	SLM4; GTR2; LTV1; MEH1; GTR1	-0.96	0.00	-0.29	-1.46	-0.28	-0.10	-0.62	GSE Complex	5	4	0.80
175	complex175	Benschop2010	YBL002W; YBL003C; YGL241W; YKR048C; YOL012C	HTB2; HTA2; KAP114; NAP1; HTZ1	-0.63	-0.97	-0.64	-0.71	-0.36	-0.46	-0.53	Kap114-Nap1 histone complex	5	4	0.80
281	complex281	Baryshnikova2010	YER149C; YLL021W; YLR313C; YLR319C; YNL271C	PEA2; SPA2; SPH1; BUD6; BNI1	-1.78	-2.26	-1.79	-1.91	-1.46	-1.68	-1.12	polarisome	5	4	0.80
434	complex434	Benschop2010	YDR357C; YEL005C; YGL079W; YKL061W; YNL086W	CNL1; VAB2; KXD1; BLI1; SNN1	-0.17	-0.26	-0.32	-0.08	-0.06	0.16	-0.10	putative Vab2-Ydr357c-Ykl061w-YGL079w-Ynl086w complex	5	4	0.80
489	complex489	Baryshnikova2010	YMR075W; YNL330C; YOL004W; YPL139C; YPR023C	RCO1; RPD3; SIN3; UME1; EAF3	1.12	1.26	1.02	-0.07	-0.08	0.24	0.39	Rpd3S complex	5	4	0.80
579	complex579	Benschop2010	YDL013W; YDR219C; YDR306C; YER116C; YER125W; YLR224W; YML111W; YMR275C; YNL311C; YOR057W	SLX5; MFB1; YDR306C; SLX8; RSP5; YLR224W; BUL2; BUL1; SKP2; SGT1	0.08	-0.43	-0.22	-0.43	-0.98	-0.59	-0.67	ubiquitin ligase complex (GO)	10	8	0.80
488	complex488	Benschop2010 & Baryshnikova2010	YAL013W; YBR095C; YDL076C; YDR207C; YIL084C; YKL185W; YMR075W; YMR263W; YNL097C; YNL330C; YOL004W; YPL139C; YPL181W	DEP1; RXT2; RXT3; UME6; SDS3; ASH1; RCO1; SAP30; PHO23; RPD3; SIN3; UME1; CTI6	0.63	0.21	-0.10	-0.13	-0.03	-0.03	-0.09	Rpd3L complex	13	10	0.77
257	complex257	Baryshnikova2010	YBL002W; YBL003C; YBR009C; YBR010W; YDR224C; YDR225W; YNL030W; YNL031C	HTB2; HTA2; HHF1; HHT1; HTB1; HTA1; HHF2; HHT2	0.60	0.33	0.28	-0.41	-0.04	-0.42	-0.10	Nucleosomal protein complex	8	6	0.75
293	complex293	Benschop2010 & Baryshnikova2010	YAL016W; YDL134C; YDL188C; YGL190C; YML109W; YMR273C; YOR014W; YPL152W	TPD3; PPH21; PPH22; CDC55; ZDS2; ZDS1; RTS1; RRD2	1.36	0.94	0.64	0.61	0.36	0.75	0.22	protein phosphatase type 2A complex	8	6	0.75
206	complex206	Baryshnikova2010	YBR221C; YER178W; YFL018C; YGR193C; YIL042C; YNL071W; YOR090C	PDB1; PDA1; LPD1; PDX1; PKP1; LAT1; PTC5	-0.05	1.12	0.41	0.27	0.01	0.29	0.19	mitochondrial pyruvate dehydrogenase complex	7	5	0.71
280	complex280	Baryshnikova2010	YBL105C; YDL203C; YDL240W; YGR070W; YHR030C; YJL095W; YKL161C; YLR371W; YNL090W; YOL105C; YOR188W; YOR231W; YPL089C; YPL140C	PKC1; ACK1; LRG1; ROM1; SLT2; BCK1; KDX1; ROM2; RHO2; WSC3; MSB1; MKK1; RLM1; MKK2	-0.71	-0.33	-0.33	-0.89	-0.64	-0.92	-0.28	PKC pathway	14	10	0.71
81	complex81	Benschop2010	YBR135W; YBR160W; YDL127W; YDL179W; YER059W; YGL134W; YGL215W; YHR071W; YIL050W; YNL289W; YOL001W; YPL219W; YPL256C	CKS1; CDC28; PCL2; PCL9; PCL6; PCL10; CLG1; PCL5; PCL7; PCL1; PHO80; PCL8; CLN2	-0.38	-0.35	-0.70	-0.59	-0.20	-0.36	-0.32	cyclin-dependent protein kinase holoenzyme complex (GO)	13	9	0.69
86	complex86	Baryshnikova2010	YAL041W; YBR200W; YDL135C; YDR309C; YDR379W; YER155C; YFL047W; YGR014W; YGR221C; YHR061C; YLR229C; YNL298W; YOL113W; YOR127W; YPL115C; YPL161C	CDC24; BEM1; RDI1; GIC2; RGA2; BEM2; RGD2; MSB2; TOS2; GIC1; CDC42; CLA4; SKM1; RGA1; BEM3; BEM4	-1.41	-0.58	-0.80	-0.98	-0.74	-1.15	-1.16	cytoskeleton assembly pathway	16	11	0.69
62	complex62	Baryshnikova2010	YDL192W; YJL099W; YKR027W; YLR330W; YMR237W; YOR299W	ARF1; CHS6; BCH2; CHS5; BCH1; BUD7	-0.28	-0.12	0.01	-0.28	-0.05	-0.22	-0.04	Chs5p/Arf-1binding proteins (ChAPs)	6	4	0.67
114	complex114	Benschop2010	YGR200C; YHR187W; YLR384C; YMR312W; YPL086C; YPL101W	ELP2; IKI1; IKI3; ELP6; ELP3; ELP4	0.11	-2.31	-1.61	-2.03	-1.90	-2.65	-1.82	Elongator holoenzyme complex	6	4	0.67
133	complex133	Baryshnikova2010	YDR200C; YFR008W; YLR238W; YMR029C; YMR052W; YNL127W	VPS64; FAR7; FAR10; FAR8; FAR3; FAR11	0.04	-0.93	-0.23	-1.05	-0.74	-0.78	-0.33	Far3p/Far7p/Far8p/Far9p/Far10p/Far11p complex	6	4	0.67
177	complex177	Benschop2010	YBL063W; YEL061C; YGL216W; YMR198W; YPL155C; YPL253C	KIP1; CIN8; KIP3; CIK1; KIP2; VIK1	-0.07	-0.91	-1.52	-1.15	-0.85	-0.73	-1.01	kinesin complex (GO)	6	4	0.67
205	complex205	Baryshnikova2010	YDL130W-A; YDL181W; YDR298C; YGR008C; YKL016C; YPL078C	STF1; INH1; ATP5; STF2; ATP7; ATP4	0.26	0.69	0.39	0.90	0.69	0.83	0.40	mitochondrial proton-transporting ATP synthase complex	6	4	0.67
213	complex213	Baryshnikova2010	YGL086W; YGL116W; YGR188C; YJL013C; YJL030W; YOR026W	MAD1; CDC20; BUB1; MAD3; MAD2; BUB3	-0.99	-0.43	-0.60	-0.78	-0.72	-1.31	-0.90	mitotic checkpoint complex	6	4	0.67
212	complex212	Benschop2010 & Baryshnikova2010	YBL038W; YBR122C; YBR268W; YBR282W; YCR003W; YCR046C; YCR071C; YDL202W; YDR115W; YDR116C; YDR237W; YDR296W; YDR322W; YDR405W; YDR462W; YEL050C; YGL068W; YGR076C; YGR220C; YHR147C; YJL063C; YJL096W; YKL138C; YKL167C; YKL170W; YKR006C; YKR085C; YLR312W-A; YLR439W; YML009C; YML025C; YMR024W; YMR098C; YMR193W; YMR225C; YMR286W; YNL005C; YNL177C; YNL185C; YNL252C; YNL284C; YNR022C; YOR150W; YPL173W; YPL183W-A; YPR100W	MRPL16; MRPL36; MRPL37; MRPL27; MRPL32; IMG1; IMG2; MRPL11; YDR115W; MRPL1; MRPL7; MHR1; MRPL35; MRP20; MRPL28; RML2; MNP1; MRPL25; MRPL9; MRPL6; MRPL8; MRPL49; MRPL31; MRP49; MRPL38; MRPL13; MRPL20; MRPL15; MRPL4; MRPL39; YML6; MRPL3; ATP25; MRPL24; MRPL44; MRPL33; MRP7; MRPL22; MRPL19; MRPL17; MRPL10; MRPL50; MRPL23; MRPL40; RTC6; MRPL51	0.42	0.90	0.14	0.54	0.31	0.41	0.24	mitochondtrial large ribosomal subunit	46	29	0.63
65	complex65	Benschop2010	YBR135W; YBR160W; YDL155W; YKR091W; YLR079W; YLR210W; YMR199W; YPL256C	CKS1; CDC28; CLB3; SRL3; SIC1; CLB4; CLN1; CLN2	-0.09	-0.85	0.17	-0.96	-0.52	-0.83	-0.48	Cln-Cdc28 protein kinase complex	8	5	0.63
69	complex69	Benschop2010	YAR003W; YBR175W; YBR258C; YDR469W; YHR119W; YKL018W; YLR015W; YPL138C	SWD1; SWD3; SHG1; SDC1; SET1; SWD2; BRE2; SPP1	-1.09	-2.03	-1.60	-1.20	-1.16	-1.48	-0.92	COMPASS complex	8	5	0.63
147	complex147	Benschop2010	YER157W; YGL005C; YGL223C; YGR120C; YML071C; YNL041C; YNL051W; YPR105C	COG3; COG7; COG1; COG2; COG8; COG6; COG5; COG4	-0.32	-0.53	-0.26	-0.56	-0.76	-1.49	-0.65	Golgi transport complex	8	5	0.63
84	complex84	Baryshnikova2010	YBL027W; YBL087C; YBL092W; YBR031W; YBR084C-A; YBR191W; YDL075W; YDL081C; YDL082W; YDL130W; YDL133C-A; YDL136W; YDL184C; YDL191W; YDR012W; YDR382W; YDR418W; YDR471W; YDR500C; YEL054C; YER056C-A; YER117W; YFL034C-A; YFR031C-A; YFR032C-A; YGL030W; YGL031C; YGL076C; YGL103W; YGL135W; YGL147C; YGR034W; YGR085C; YGR148C; YHL001W; YHL033C; YHR010W; YHR141C; YIL018W; YIL052C; YIL133C; YIL148W; YJL177W; YJL189W; YJR094W-A; YKL006W; YKL180W; YKR094C; YLL045C; YLR029C; YLR061W; YLR075W; YLR185W; YLR325C; YLR340W; YLR344W; YLR406C; YLR448W; YML073C; YMR121C; YMR142C; YMR194W; YMR242C; YNL067W; YNL069C; YNL162W; YNL301C; YOL039W; YOL120C; YOL127W; YOR063W; YOR234C; YOR312C; YPL079W; YPL131W; YPL143W; YPL198W; YPL220W; YPL249C-A; YPR043W; YPR102C	RPL19B; RPL23A; RPL32; RPL4A; RPL19A; RPL21A; RPL31A; RPP1A; RPL13A; RPP1B; RPL41B; RPL35B; RPL41A; RPL35A; RPL4B; RPP2B; RPL12B; RPL27B; RPL37B; RPL12A; RPL34A; RPL23B; RPL22B; RPL2A; RPL29; RPL30; RPL24A; RPL7A; RPL28; RPL1B; RPL9A; RPL26B; RPL11B; RPL24B; RPL14B; RPL8A; RPL27A; RPL42B; RPL2B; RPL34B; RPL16A; RPL40A; RPL17B; RPL39; RPL43B; RPL14A; RPL17A; RPL40B; RPL8B; RPL15A; RPL22A; RPL10; RPL37A; RPL38; RPP0; RPL26A; RPL31B; RPL6B; RPL6A; RPL15B; RPL13B; RPL36A; RPL20A; RPL9B; RPL16B; RPL42A; RPL18B; RPP2A; RPL18A; RPL25; RPL3; RPL33B; RPL20B; RPL21B; RPL5; RPL33A; RPL7B; RPL1A; RPL36B; RPL43A; RPL11A	0.26	0.11	-0.56	0.68	0.36	0.67	-0.11	cytoplasmic ribosomal large subunit	81	50	0.62
140	complex140	Benschop2010	YDR027C; YDR484W; YJL029C; YJL034W; YKR020W	VPS54; VPS52; VPS53; KAR2; VPS51	1.15	-1.35	0.07	-1.63	-0.40	-1.18	-0.57	GARP complex	5	3	0.60
173	complex173	Benschop2010	YBR245C; YKR001C; YLR095C; YMR044W; YPL082C	ISW1; VPS1; IOC2; IOC4; MOT1	0.64	0.47	0.37	-1.02	-0.26	-0.39	0.26	ISW1 complex (JB)	5	3	0.60
466	complex466	Baryshnikova2010	YDR004W; YDR076W; YER095W; YGL163C; YML032C	RAD57; RAD55; RAD51; RAD54; RAD52	0.46	-1.15	-1.27	-2.27	-1.15	-1.55	-1.25	rad51-rad57	5	3	0.60
558	complex558	Baryshnikova2010	YCR081W; YDL140C; YDR443C; YNL025C; YNL030W; YOR151C; YOR290C; YPL042C; YPL181W; YPR186C	SRB8; RPO21; SSN2; SSN8; HHF2; RPB2; SNF2; SSN3; CTI6; PZF1	1.26	0.17	0.20	-0.42	0.35	0.23	0.53	transcription factor complex	10	6	0.60
566	complex566	Benschop2010	YBR283C; YDR086C; YER019C-A; YER087C-B; YLR378C	SSH1; SSS1; SBH2; SBH1; SEC61	-0.23	0.26	-0.28	0.15	0.38	0.08	0.10	translocon complex (GO)	5	3	0.60
580	complex580	Baryshnikova2010	YBR201W; YDR057W; YLR207W; YML029W; YOL013C	DER1; YOS9; HRD3; USA1; HRD1	0.31	0.09	0.63	0.88	0.38	0.76	0.22	ubiquitin ligase ERAD-L complex	5	3	0.60
87	complex87	Benschop2010	YBL027W; YBL092W; YBR031W; YBR181C; YBR191W; YCR031C; YDL075W; YDL082W; YDL083C; YDL136W; YDR012W; YDR382W; YDR418W; YDR447C; YDR471W; YER074W; YFR031C-A; YFR032C-A; YGL014W; YGL030W; YGL031C; YGL076C; YGL103W; YGL123W; YGL135W; YGL147C; YGR034W; YGR085C; YGR118W; YHL001W; YHL033C; YHR141C; YIL018W; YIL133C; YJL177W; YJR123W; YKL180W; YLL045C; YLR029C; YLR075W; YLR150W; YLR287C-A; YLR340W; YLR441C; YLR448W; YML063W; YML073C; YMR142C; YMR194W; YMR242C; YNL069C; YNL096C; YNL178W; YNL301C; YNL302C; YOL039W; YOL040C; YOL127W; YOR063W; YOR312C; YPL090C; YPL198W; YPL220W; YPL249C-A	RPL19B; RPL32; RPL4A; RPS6B; RPL21A; RPS14A; RPL31A; RPL13A; RPS16B; RPL35B; RPL4B; RPP2B; RPL12B; RPS17B; RPL27B; RPS24A; RPL2A; RPL29; PUF4; RPL30; RPL24A; RPL7A; RPL28; RPS2; RPL1B; RPL9A; RPL26B; RPL11B; RPS23A; RPL14B; RPL8A; RPL42B; RPL2B; RPL16A; RPL17B; RPS5; RPL17A; RPL8B; RPL15A; RPL10; STM1; RPS30A; RPP0; RPS1A; RPL6B; RPS1B; RPL6A; RPL13B; RPL36A; RPL20A; RPL16B; RPS7B; RPS3; RPL18B; RPS19B; RPP2A; RPS15; RPL25; RPL3; RPL20B; RPS6A; RPL7B; RPL1A; RPL36B	0.21	0.32	-0.35	0.70	0.43	0.75	-0.03	cytosolic large ribosomal subunit	64	38	0.59
589	complex589	Baryshnikova2010	YCL005W-A; YEL027W; YHR026W; YLR447C; YMR054W; YOR270C; YPL234C	VMA9; VMA3; VMA16; VMA6; STV1; VPH1; VMA11	-1.89	-0.49	-1.80	-0.90	-0.67	-0.91	-0.86	"vacuolar proton-transporting V-type ATPase, V0 domain (AB)"	7	4	0.57
597	complex597	BJV curation	YBR082C; YBR173C; YDL020C; YDR054C; YDR059C; YDR069C; YDR092W; YDR177W; YEL037C; YER143W; YFL007W; YFR010W; YGL058W; YGL141W; YGR232W; YHL030W; YHR052W; YKL010C; YKL206C; YLR199C	UBC4; UMP1; RPN4; CDC34; UBC5; DOA4; UBC13; UBC1; RAD23; DDI1; BLM10; UBP6; RAD6; HUL5; NAS6; ECM29; CIC1; UFD4; ADD66; PBA1	-0.29	-0.58	-0.26	-0.52	-0.10	-0.36	-0.33	proteasome associated	20	11	0.55
85	complex85	Baryshnikova2010	YBL072C; YBR048W; YBR181C; YBR189W; YCR031C; YDL061C; YDL083C; YDR025W; YDR064W; YDR447C; YDR450W; YER074W; YER102W; YER131W; YGL123W; YGL189C; YGR027C; YGR118W; YGR214W; YHL015W; YHR021C; YHR203C; YIL069C; YJL136C; YJL190C; YJL191W; YJR123W; YJR145C; YKL156W; YKR057W; YLR048W; YLR167W; YLR264W; YLR287C-A; YLR333C; YLR367W; YLR388W; YLR441C; YML024W; YML026C; YML063W; YMR116C; YMR143W; YMR230W; YNL096C; YNL178W; YNL302C; YOL040C; YOL121C; YOR096W; YOR167C; YOR182C; YOR293W; YOR369C; YPL081W; YPL090C; YPR132W	RPS8A; RPS11B; RPS6B; RPS9B; RPS14A; RPS29B; RPS16B; RPS11A; RPS13; RPS17B; RPS18A; RPS24A; RPS8B; RPS26B; RPS2; RPS26A; RPS25A; RPS23A; RPS0A; RPS20; RPS27B; RPS4B; RPS24B; RPS21B; RPS22A; RPS14B; RPS5; RPS4A; RPS27A; RPS21A; RPS0B; RPS31; RPS28B; RPS30A; RPS25B; RPS22B; RPS29A; RPS1A; RPS17A; RPS18B; RPS1B; ASC1; RPS16A; RPS10B; RPS7B; RPS3; RPS19B; RPS15; RPS19A; RPS7A; RPS28A; RPS30B; RPS10A; RPS12; RPS9A; RPS6A; RPS23B	-0.01	0.03	-0.14	0.29	0.16	0.15	-0.47	cytoplasmic ribosomal small subunit	57	31	0.54
557	complex557	Baryshnikova2010	YBR279W; YER164W; YGL207W; YGL244W; YGR063C; YGR116W; YLR418C; YML010W; YNL230C; YOL145C; YOR123C; YPL046C; YPR133C	PAF1; CHD1; SPT16; RTF1; SPT4; SPT6; CDC73; SPT5; ELA1; CTR9; LEO1; ELC1; SPN1	0.85	-0.03	-0.57	-0.60	-0.68	-1.54	-0.85	transcription elongation factor complex	13	7	0.54
143	complex143	Benschop2010	YBR105C; YCL039W; YDL176W; YDR255C; YGL227W; YIL017C; YIL097W; YMR135C	VID24; GID7; YDL176W; RMD5; VID30; VID28; FYV10; GID8	-0.13	-0.27	-0.14	-0.18	-0.02	0.18	-0.26	GID complex	8	4	0.50
210	complex210	Benschop2010 & Baryshnikova2010	YBL090W; YBR146W; YBR251W; YDL045W-A; YDR036C; YDR041W; YDR175C; YDR337W; YDR347W; YER050C; YFR049W; YGL129C; YGR084C; YGR165W; YGR215W; YHL004W; YHR059W; YHR075C; YIL093C; YJR101W; YJR113C; YKL003C; YKL155C; YMR158W; YMR188C; YNL081C; YNL137C; YNL306W; YNR036C; YNR037C; YOR158W; YPL013C; YPL118W; YPR166C	MRP21; MRPS9; MRPS5; MRP10; EHD3; RSM10; RSM24; MRPS28; MRP1; RSM18; YMR31; RSM23; MRP13; MRPS35; RSM27; MRP4; FYV4; PPE1; RSM25; RSM26; RSM7; MRP17; RSM22; MRPS8; MRPS17; SWS2; NAM9; MRPS18; MRPS12; RSM19; PET123; MRPS16; MRP51; MRP2	1.14	0.91	0.38	0.95	0.21	0.64	0.22	mitochondrial small ribosomal subunit	34	17	0.50
294	complex294	Baryshnikova2010	YBR188C; YDR416W; YGR129W; YJR050W; YLL036C; YLR117C; YMR213W; YPR101W	NTC20; SYF1; SYF2; ISY1; PRP19; CLF1; CEF1; SNT309	-0.77	0.07	0.26	-0.14	-0.36	-0.33	-0.14	Prp19-associated complex	8	4	0.50
502	complex502	Baryshnikova2010	YBR280C; YDL132W; YDR054C; YDR131C; YDR328C; YFL009W; YIL046W; YJL149W; YJR090C; YLR097C; YLR368W; YML088W; YOL133W; YOR080W	SAF1; CDC53; CDC34; YDR131C; SKP1; CDC4; MET30; DAS1; GRR1; HRT3; MDM30; UFO1; HRT1; DIA2	-0.45	-0.23	-0.32	0.11	0.17	-0.28	-0.40	SCF ubiquitin ligase complex (AB)	14	7	0.50
546	complex546	Benschop2010	YAL011W; YBR231C; YDR190C; YDR334W; YDR485C; YFL039C; YGR002C; YJL081C; YLR085C; YLR385C; YLR399C; YML041C; YNL107W; YPL235W	SWC3; SWC5; RVB1; SWR1; VPS72; ACT1; SWC4; ARP4; ARP6; SWC7; BDF1; VPS71; YAF9; RVB2	0.99	0.21	0.37	0.34	0.35	0.63	0.24	SWR1 complex	14	7	0.50
555	complex555	Benschop2010	YER093C; YIL105C; YJL058C; YKL203C; YMR068W; YNL006W; YNL047C; YOL078W	TSC11; SLM1; BIT61; TOR2; AVO2; LST8; SLM2; AVO1	-0.48	-0.47	0.08	0.34	-0.03	0.01	0.04	TORC2 complex (GO)	8	4	0.50
568	complex568	Benschop2010	YDL084W; YDR138W; YDR381W; YHR167W; YML062C; YNL004W; YNL139C; YNL253W	SUB2; HPR1; YRA1; THP2; MFT1; HRB1; THO2; TEX1	0.38	0.63	0.14	-0.14	0.02	-0.55	-0.23	TREX complex	8	4	0.50
88	complex88	Benschop2010	YBL072C; YBR048W; YBR189W; YDR025W; YDR064W; YER102W; YHR203C; YIL069C; YJL190C; YJR145C; YLR367W; YML024W; YOR096W; YOR204W; YPL081W	RPS8A; RPS11B; RPS9B; RPS11A; RPS13; RPS8B; RPS4B; RPS24B; RPS22A; RPS4A; RPS22B; RPS17A; RPS7A; DED1; RPS9A	-0.25	0.56	-0.17	0.64	0.40	0.40	-0.77	cytosolic small ribosomal subunit	15	7	0.47
101	complex101	Baryshnikova2010	YBR081C; YBR236C; YDL115C; YDR176W; YDR392W; YDR448W; YGL151W; YGR097W; YGR252W; YLR055C; YML010W; YNL025C; YOL148C; YPL042C; YPL254W	SPT7; ABD1; IWR1; NGG1; SPT3; ADA2; NUT1; ASK10; GCN5; SPT8; SPT5; SSN8; SPT20; SSN3; HFI1	0.18	-0.38	0.28	-2.03	-0.89	-1.43	-0.50	"DNA-directed RNA polymerase II, holoenzyme"	15	7	0.47
132	complex132	Baryshnikova2010	YBL099W; YBR039W; YDL004W; YDL181W; YDR298C; YDR322C-A; YDR377W; YJR121W; YKL016C; YLR295C; YML081C-A; YOL077W-A; YPL078C; YPL271W; YPR020W	ATP1; ATP3; ATP16; INH1; ATP5; TIM11; ATP17; ATP2; ATP7; ATP14; ATP18; ATP19; ATP4; ATP15; ATP20	0.22	1.74	0.86	1.06	0.62	0.40	0.48	F0/F1 ATP synthase (complex V)	15	7	0.47
