gene	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	SC_NH4_GAL_20181023
OTU2	0.816796	0.883793	0.882473	0.449022	0.455306	0.986968	0.234748
YOR296W	0.574097	0.484511	0.347578	0.305724	0.128273	0.558373	0.172981
SNF11	0.453911	0.426161	0.278889	0.026149	0.160852	0.553098	-0.024218
YOL037C	0.248466	0.256975	0.41967	-0.128206	0.063723	0.575044	-0.036026
NUP170	1.216205	1.35748	2.055954	-0.249987	1.820735	0.436328	-1.078072
UBP2	0.330487	0.390084	0.869681	0.137971	0.736176	0.160605	-0.182467
YOR300W	0.523957	0.537048	1.094912	0.572217	0.8287	0.027429	-0.175387
DAS1	0.713887	0.504532	1.091395	0.029533	0.526552	0.044719	-0.263782
PEX8	1.102781	0.668086	1.3476	0.084051	0.544102	0.376446	-0.199534
HIT1	1.089812	1.98633	1.986001	0.286339	1.334694		0.094514
PML39	1.188296		2.029727	0.463124		0.0095	0.022465
BDF1	1.288644	1.649274	3.407387	1.006911	0.838169		-0.033356
HNM1		0.463954	1.28223	0.188351	0.150444	-0.076561	-0.014611
MDL1	1.104741	0.846339	0.843191	0.745851	0.213994	0.090495	-0.551016
TPS1	1.442453	0.561987	0.974131	0.64433	0.112141	-0.189153	-0.554739
TSR2	1.030222	0.779823	1.309093	0.54196	0.042203	-0.066693	-0.428396
YLR349W	0.453952	0.448727	0.65003	0.771699	0.204713	0.086487	-0.27012
ALD2	0.3287	0.226291	0.514559	0.416783	0.085343	0.228206	-0.086606
MRPL9	0.978731	1.010317	1.551335	1.229598	0.486873	0.654457	
SPO74	0.324059	0.2075	0.351635	0.278407	0.118621	0.118463	-0.045559
RPL13A	1.818777	1.228515	1.768549	0.966552	0.607548	-0.182772	0.202306
YML037C	0.537124	0.389158	0.561739	0.494125	0.091585	-0.029757	0.047367
YJL045W			0.258724	0.205655	0.018593	-0.024213	0.042233
UBC7	0.602394	0.664628	0.881708	0.605913	0.106791	-0.072874	-0.095176
HXK2	1.501117	0.396303	1.261842	0.776092	-0.339088	0.045863	0.229267
NTH2	0.385598		0.336395	0.196915	-0.003169	0.012189	0.002597
AMD2		0.232081	0.556339	0.332528		0.005803	0.051356
YGR016W	0.453585	0.205111	0.563201	0.272	-0.081787	0.021958	0.032048
PEX2	1.310703	0.847121	0.642313	0.325598	0.683697	0.531575	-0.007357
YHM2	1.762299	1.219784	1.036147		0.94772	0.588195	0.086974
BMH2	1.049451	0.487717	0.616368	0.418364	0.518823	0.146149	-0.029426
PKH1	0.993917	0.353241	0.683683	0.098926	0.572751	0.440818	-0.080888
ZDS2	1.24395	0.566154	1.324086	0.248434	0.927176	0.644369	-0.219616
AIM1	1.287993	0.69456	0.832144	0.273448	0.736707	0.388668	-0.504067
OCA6	1.270084	0.417472	0.677842	0.927987	0.507407	-0.15504	0.365804
YJL152W	0.622365	0.050275	0.307207	0.357031	0.324919	-0.02081	0.036872
DRN1			0.402986				
YBR016W	0.69584	0.262244	0.113827	0.466214	0.484673	0.022661	0.289422
YKL091C	0.361536			0.228652	0.295634	0.038711	0.117934
ASR1	0.551277	0.413388	0.498631	0.469896	0.411981	0.183852	0.199831
YGR226C	0.679454	0.433218	0.638302	0.670718	0.579302	0.312671	0.224403
OCA1	1.616182	1.073323	1.137965	0.995606	1.12921	0.439846	0.412693
BOI1	0.602281	0.444592	0.523786	0.473321	0.361552	0.04461	0.234701
RPS28B	1.077779	0.608959	1.052349	0.874732	0.566702	-0.036294	0.127138
RDS2	0.478213		0.335465	0.328931	0.230406	0.110409	0.010843
SPE2	1.724769	1.053016	1.530247	1.386741	0.928836	0.384491	0.160256
SYO1	1.928946	1.047586	1.177834	0.346615	0.395337	-0.000057	0.437054
RPS0A	1.410648	1.021139	0.649786	0.233754	0.165457	0.174234	0.707459
YPK9	1.205233	0.510417	0.761657	0.737827	0.133969	0.230766	0.278901
RPL21B	2.079295	1.42312	1.316559	1.100059	0.593859	0.134934	0.787135
RPL37B	1.773283	0.759247	1.621168	0.835671	0.425933	0.341282	0.84854
MSY1	1.413961	1.349757	0.080123	1.42886	0.530755	0.332275	0.387163
YDR102C	0.225702	0.344793	0.022804	0.339177			0.05073
AEP1			0.2786		3.29811	1.411436	
YAR023C	0.116627	0.104547	0.023205	0.1863	0.107644	-0.027392	-0.192183
REC8	0.185585	0.229902		0.391369	0.076962	0.004642	-0.201573
GTB1			0.071581	0.69059			
UPS3		0.14171	0.15674	0.41846	0.15906	-0.027365	-0.265874
PEX5	1.222508	0.549565	0.311156	0.992122	0.695716	0.175184	-0.722592
YDL086W	0.502967		0.076725	0.627024	0.190593	0.308046	-0.337188
YMR099C			0.186394	0.880807	0.495134	0.437693	-0.512743
STE13	0.379473	0.162715	-0.047663	0.502827	0.196604	0.206897	-0.194493
HOT13		0.110033		0.434048	0.161709	0.250773	-0.075985
YNL198C	1.147487	0.605644	1.098813	1.207968	1.338919	0.222107	-1.775906
PDA1	2.810653	0.884081	2.033364	1.792973	2.504949	0.723213	-1.046591
CGI121	0.826073	0.736267	0.76925	0.50078	0.843511	0.36463	-0.48969
GDE1	0.356559		0.352153	0.244926	0.353267	0.172041	-0.27386
YOL036W	0.549241	0.531789	0.52717	0.475553	0.610507	0.243186	-0.508252
TSR3	0.819729	0.543239	0.521095	0.538778	0.59397	0.341667	-0.612282
OSH3	0.575853	0.620476	1.396044	0.727151	0.884959	0.650976	-1.192464
YDL119C	0.399972		0.679447	0.338368	0.54296	0.470369	-0.477682
OCA5	1.278147	0.352331	0.840873	0.665655	0.576768	0.090319	-0.528695
COA6		0.417593	0.885484	1.162188	0.577923	0.329898	-0.815349
MRS2	0.701151	0.302443	0.317855	0.6066	0.50869	0.660062	-0.545141
HRK1	0.550402	0.409207	0.29085	0.624122	0.580048	0.398862	-0.660681
FHN1	0.527847	0.263542	0.200144	0.438031	0.261435	0.280293	-0.553783
BUD26	0.957444	-0.050889	0.556944	1.259211	1.279854	0.234599	-0.680166
PDR8	0.238579	0.010091	0.148749	0.271142	0.328958	0.080014	-0.211557
COQ3	1.756263	0.225867		1.179939	1.878463	0.504521	
PAU24	0.39501	0.044322	0.652596	0.241488	0.378313	0.057765	-0.233238
YCL012W	0.425686	-0.064628		0.329435	0.335214	0.239953	-0.168081
YNL320W	0.602979	-0.057235	0.265603	0.205865	0.336372	0.261637	-0.287227
MRM1	0.658096	0.489056	1.179279	1.35142	2.255728	0.11315	
GLO4	0.115792	0.179529	0.383705	0.410468	0.541109	0.102433	0.038954
YMR244W	0.164988	0.343674	0.39775	0.717126	0.60468	0.294065	-0.32748
AGX1	0.14491		0.252011	0.580087	0.459734	0.316345	-0.181637
COQ9	0.690587	0.726084	0.458131	1.179459	1.813688	0.287937	-0.24639
YLR112W	0.252796	0.617725	0.223905	0.653649	0.778892	0.29983	-0.140217
YLR279W	0.177175	0.424954	0.175815	0.399571	0.627531	0.232802	-0.156681
YDR089W	0.430385		0.50771	1.218786		0.604098	
PYC1					1.463196	0.079245	-0.928468
YOR088W	0.016351	0.516264	0.223347	0.334103	0.585173	0.048322	-0.287315
YJL016W		0.424083	0.29076	0.397526	0.473877		-0.182861
PCH2	0.796619		0.274161	0.531564	0.40339	0.528075	-0.043958
MRPL38	1.734551	0.119841	0.688055	1.358941	1.223358	1.327497	0.276959
DPL1	0.516253	0.145021	0.299071		0.508996	0.400963	0.051211
YHP1	0.582614	0.186182	0.275015		0.57189	0.385247	0.006674
PEX30	0.820873	0.243679	0.463314	0.633784	0.740405	0.639907	-0.051985
AHP1			0.528823	0.867901	0.856032	0.801332	-0.063864
INA17	0.568108	0.343776	0.314151	0.524127	0.806308	0.632301	-0.166678
YDR444W	0.310309			0.298053	0.444752	0.208737	-0.138018
ADH7		0.160274	0.464288	0.595859	0.911356	0.445689	
PPM2	0.409579	0.401488	0.204656	0.757173	0.649305	0.964837	-0.204626
YEL023C	0.442436	0.291016	0.106577	0.429888	0.455004	0.607631	-0.028191
RMD5	0.502879	0.421043	0.71641	0.7006	0.341982	0.811152	0.123481
DIC1	0.432958	0.095357	0.363475	0.492031	0.273427	0.576731	0.127835
ARO10	0.320925		0.203608	0.328925	0.265579	0.472873	0.040663
RAD34	0.32445	0.205881	0.384885	0.531531	0.410211	0.520759	0.152686
INP54		0.138895	0.324009	0.547557	0.337522	0.485683	0.13538
TRR2	0.201591	0.068777	0.07978	0.399591	0.517907	0.327549	0.164156
SIP2	0.537168	0.164847	0.408971	0.849586	0.950714	0.766518	0.544688
ABZ2	0.293537		0.161267	0.557449	0.320587	0.48968	0.25007
YFL015C		0.369778	0.37273	0.955639	0.684428	0.73093	0.499133
DSS1	1.045469	0.632694	0.906597	1.43096	1.117333	0.700317	
MRPL20	1.514901	1.226544	1.161497	2.110817	1.612192	0.686842	-0.24639
MRI1	0.301356	0.22678	0.32758	0.291111	0.339715	0.099516	0.006769
TAZ1	0.553521	0.558148	0.654275	0.768664	0.560154	0.359224	0.377493
MSP1	0.196323	0.291189	0.379038	0.394038	0.400293		0.092413
YMR144W	0.608027	0.612059	0.813996		1.028929	0.377681	0.376823
MSF1	0.765676	0.447457	1.193644	0.645455	1.013743	0.771231	-0.04613
COX23	0.434563	0.299889	1.080011		1.021634	0.589929	0.152276
PDC5	0.366477	0.357506	0.567516	0.297732	0.391014	0.216924	-0.164423
MUD2	1.367377	1.033752	1.36826	0.70312	1.296799	1.267277	-0.206882
GPG1		0.527179	0.797804	0.327719	0.575483	0.446113	-0.07115
ASN1	0.283769	0.408132	0.420642	0.321123	0.321144	0.266873	-0.011618
YLR294C	0.041875	0.235707	-0.407359	-0.622529	0.882239	-0.119901	0.207849
QCR7	0.925519	-0.190705	-1.093473	-0.848412	1.513222	0.411097	
TUB3	0.206242	0.090289	-0.412514	-0.087195	0.471538	0.170899	0.314859
ECM10	0.248409	0.046918	-1.507151	-1.045798		0.137518	0.855201
RBD2	0.234164	0.025261		-0.369578	0.670863	0.017914	0.377463
YPR146C	0.142552	0.1736	-0.454719	0.001264	0.657391	-0.025349	1.190407
CYT1	0.843846	0.516479	-1.293892	-0.119107	1.610924	0.039025	
YHR049C-A	0.085525	0.284899	-0.094192	-0.051475	0.279628	0.288988	0.292431
BGL2	0.576772	0.220238	-0.201683	-0.254188	0.959526	0.697379	0.682829
YMR153C-A	0.394771	0.171742	-0.056969	-0.1425	0.568723	0.362654	0.294132
SCO1	0.689278	0.65301	-0.641048	-0.563631	0.788435	0.679012	0.523422
ETT1	0.03649		-0.424043	-0.231659	0.621013	0.161572	0.278368
PDR5	0.005243	0.77093	-0.930251	-0.524635	0.875323	0.246427	0.462629
YPT35	0.077422	0.282308	-0.35062	-0.185961	0.380818	0.114428	
GAT3	0.01495	0.315145	-0.352262	-0.240072	0.226524	0.292777	0.298853
YJL171C	0.113321	0.324004	-0.113146	-0.077867	0.4468	0.108229	0.101063
YEH2	0.09437	0.203199	-0.344467	0.081914	0.591409	0.166221	0.146909
TPO5		0.427483	-0.612282	0.046278	1.367141	0.682603	0.40314
YDL094C	0.150596	-0.008162	0.009254	-0.102109	0.170899	0.181227	0.395353
EMP46	0.244465		-0.084242	-0.072767	0.152914	0.136286	0.423375
RGI2		-0.232581	-0.12969	-0.213803	0.484851	0.414576	1.232054
THO1	0.681338	0.11862	-0.061568	-0.156643	0.30404	0.225239	0.851501
RSM22	0.461078	0.25848	-0.149385	-0.317026	1.064579		
SLZ1	0.270304	0.156133	-0.134575	-0.140757	0.644174	0.662242	1.454609
GOR1	0.055222	0.025845	-0.08104	-0.023383	0.312369	0.040014	0.884906
MSH3		0.018315	-0.058868	-0.133764	0.283353	0.037024	0.580018
GPT2	-0.040893	0.243962	-0.170059	-0.307615	0.269069	0.076056	0.483199
YKR012C	-0.069385	0.222356	-0.088842	-0.19772	0.328884	0.284937	0.481617
YCL006C	-0.160899	0.222066	-0.034055	-0.497299	0.54697	0.310873	0.73896
YDR124W	-0.108329	0.081652	-0.212913	-0.092496	0.446246	-0.06413	0.528603
VMA11	-0.104485	0.263483	-0.434664	-0.374996	1.019339		
IRC14		0.600139	-0.791466	-0.660234	1.634268	0.687585	1.987106
YDL009C	0.11986	-0.08086	-0.095243	-0.547532	0.44972	-0.00768	0.509619
GET2	0.349713	-0.606689	-0.505698	-1.545063	1.426541	0.720255	1.917639
RAD4	0.40875	-0.222106	-0.130496	-0.934391	0.958876	0.367161	0.338875
EIS1	-0.046392	0.27216	-0.197336	0.427636	0.541767	0.090335	0.328522
COX12	0.091916	-0.021285	-0.472944	0.877666	2.56945	0.336073	
