""	"GO"	"1"	"2"	"3"	"4"	"5"
"128"	"ribosomal large subunit biogenesis"	"0.617264627450981"	"-0.0906519375"	"0.248228419354839"	"-0.32699756"	"0.597260028571429"
"129"	"ribosomal small subunit biogenesis"	"0.370743754901961"	"-0.125340903225806"	"0.467823192307692"	"0.21918535"	"0.350231151515151"
"130"	"ribosomal subunit export from nucleus"	"0.171630388888889"	"-0.107617"	"-0.282980142857143"	"-0.2120244"	"0.627351222222222"
"131"	"ribosome"	"0.255803862889984"	"-0.0947694611398964"	"0.244272182291667"	"-0.121833666666667"	"0.142029392265193"
"132"	"ribosome assembly"	"0.47120225"	"-0.238901111111111"	"0.386918294117647"	"0.105161307692308"	"0.610891238095238"
"133"	"RNA binding"	"-0.174469866197183"	"-0.293099912408759"	"0.00934096923076923"	"-0.133984748031496"	"0.0713818059701492"
"134"	"RNA catabolic process"	"-0.406070905913979"	"-0.383753258064516"	"-0.4171106"	"-0.32659758490566"	"-0.092093"
"135"	"RNA modification"	"-0.343516271929825"	"-0.349704148148148"	"-0.0587973773584906"	"-0.189330078431373"	"0.00159831481481482"
"136"	"RNA modification guide activity"	""	""	""	""	""
"137"	"RNA splicing"	"-0.0390902009803919"	"-0.0935995151515152"	"0.176627483870968"	"-0.27424762962963"	"0.0030992"
"138"	"rRNA binding"	"0.565407"	"-0.035603"	"0.2891945"	"0.40698"	"0.8509405"
"139"	"rRNA processing"	"0.37288202259887"	"-0.00335185454545455"	"0.336580411764706"	"-0.0893483571428571"	"0.33713"
"140"	"signal transducer activity"	"-0.517793893333334"	"-0.328743380952381"	"-0.532352954545455"	"-0.416393130434783"	"-0.772426125"
"141"	"signaling"	"-0.315774938818566"	"-0.266625310344828"	"-0.422294392857143"	"-0.361542963235294"	"-0.320188868965517"
"142"	"site of polarized growth"	"-0.555564418803419"	"-0.394975882758621"	"-0.616067147887324"	"-0.498437794326241"	"-0.47230624"
"143"	"snoRNA processing"	"-1.39305033333333"	"-0.746324666666667"	"-0.462692"	"-0.427586"	"1.12969466666667"
"144"	"sporulation"	"-0.126942295"	"-0.0490235531914894"	"0.0466044591836735"	"0.0190529684210526"	"0.119540822916667"
"145"	"structural constituent of ribosome"	"0.461221952777778"	"-0.0548642743362832"	"0.412486879310345"	"-0.161372414141414"	"0.31517462745098"
"146"	"structural molecule activity"	"0.251229248466258"	"-0.16996939869281"	"0.273552279220779"	"-0.166982646616541"	"0.228188832167832"
"147"	"telomere organization"	"-0.763030263157895"	"-0.833521763157895"	"-0.582450029411765"	"-0.655832193548387"	"-0.204114487179487"
"148"	"transcription factor activity, protein binding"	"-0.402446928104575"	"-0.351469489795918"	"-0.149856673469388"	"-0.443303875"	"0.467942773584906"
"149"	"transcription factor binding"	"-0.128485154320988"	"-0.197236923076923"	"-0.325913625"	"-0.20770275"	"-0.2605725"
"150"	"transcription from RNA polymerase I promoter"	"-0.577741591666667"	"-0.456920842105263"	"-0.0986552631578947"	"-0.389087611111111"	"0.565070952380952"
"151"	"transcription from RNA polymerase II promoter"	"-0.366804275720165"	"-0.347335744493392"	"-0.279126624454148"	"-0.297101364485981"	"0.164142703252033"
"152"	"transcription from RNA polymerase III promoter"	"-0.983664604166667"	"-0.871162166666667"	"-0.272988333333333"	"-0.95786775"	"-0.42652425"
"153"	"transferase activity"	"-0.137783490487062"	"-0.142949741545894"	"-0.124483588669951"	"-0.0924108888888889"	"-0.075364858490566"
"154"	"transferase activity, transferring glycosyl groups"	"0.00873300980392141"	"-0.0737565490196078"	"-0.315389553191489"	"-0.195766152173913"	"0.124159102040816"
"155"	"translation factor activity, RNA binding"	"-0.498940166666667"	"-0.2855085"	"0.311464"	"-0.00265853846153845"	"-0.0846997857142857"
"156"	"translational elongation"	"-0.187681104166667"	"-0.183336047619048"	"0.13603155"	"0.00582047368421053"	"-0.1214175"
"157"	"translational initiation"	"-0.519452277777778"	"-0.606969071428571"	"0.093949"	"-0.518399428571429"	"-0.290192538461538"
"158"	"transmembrane transport"	"0.12207495410628"	"0.0489227596899225"	"0.200218085271318"	"0.141756839694656"	"-0.0277451603053435"
"159"	"transmembrane transporter activity"	"-0.0567633789308176"	"-0.0495756178010471"	"0.095453115"	"-0.00784332663316583"	"-0.0649630507614213"
"160"	"transposition"	"-1.45270769047619"	"-1.04893585714286"	"-1.38362966666667"	"-1.44387866666667"	"0.0186908571428571"
"161"	"triplet codon-amino acid adaptor activity"	""	""	""	""	""
"162"	"tRNA aminoacylation for protein translation"	"0.270076962962963"	"0.0530854444444444"	"0.925004"	"-0.0478342222222222"	"-0.1687214"
"163"	"tRNA processing"	"-0.386365836477988"	"-0.37694998"	"-0.121465803921569"	"-0.162458729166667"	"0.0901148113207547"
"164"	"ubiquitin-like protein binding"	"-0.42202152"	"-0.455125565217391"	"-0.681356391304348"	"-0.374208166666667"	"-0.200037291666667"
"165"	"unfolded protein binding"	"-0.202947203125"	"0.0657908"	"0.0381006333333333"	"-0.182993793103448"	"-0.126782678571429"
"166"	"vacuole"	"-0.175667106850716"	"-0.129873163987138"	"-0.195724040133779"	"-0.173060324675325"	"-0.146388887096774"
"167"	"vacuole organization"	"-0.521059817307692"	"-0.381385764705882"	"-0.48443406122449"	"-0.527429625"	"-0.363587918367347"
"168"	"vesicle organization"	"-0.337932121212121"	"-0.0911507272727273"	"-0.3803451"	"-0.340199966666667"	"0.12122978125"
"169"	"vitamin metabolic process"	"-0.055031782051282"	"-0.0667236"	"-0.0534961304347826"	"0.132339875"	"-0.0106153461538462"
