	V5	V2	V3	V4	SC_NH4_GAL_20181023	SC_NH4_GLU_20180827	SC_UREA_GLU_20180911	YNB_NH4_GLU_20180713	YNB_NH4_GLU_20180731	YNB_NH4_GLU_20180807	YNB_UREA_GLU_20180724	V1	Size	InData	FracInData
317	complex317	Benschop2010	YBL040C; YBR017C; YEL022W; YGR218W; YJR077C; YML085C; YOR160W	ERD2; KAP104; GEA2; CRM1; MIR1; TUB1; MTR10	1.59	1.15	1.55	2.00	3.18	1.75	0.98	putative Crm1-Mir1-Erd2-Tub1-Gea2-Mtr10-Kap104 complex	7.00	1.00	0.14
98	complex98	Baryshnikova2010	YBR087W; YCL016C; YHR191C; YJR068W; YMR078C; YNL290W; YOL094C	RFC5; DCC1; CTF8; RFC2; CTF18; RFC3; RFC4	1.16	-1.94	-2.59	NaN	-2.40	-2.27	-2.10	DNA replication factor C complex (Ctf18p/Ctf8p/dcc1p)	7.00	1.00	0.14
70	complex70	Benschop2010	YDL145C; YDR238C; YER122C; YFR051C; YGL137W; YIL076W; YNL287W; YPL010W	COP1; SEC26; GLO3; RET2; SEC27; SEC28; SEC21; RET3	1.05	0.33	-1.95	-1.96	-1.28	-0.33	-0.15	COPI vesicle coat	8.00	2.00	0.25
249	complex249	Baryshnikova2010	YDR359C; YEL018W; YFL024C; YFL039C; YGR002C; YHR090C; YHR099W; YJL081C; YJR082C; YNL107W; YNL136W; YOR244W; YPR023C	EAF1; EAF5; EPL1; ACT1; SWC4; YNG2; TRA1; ARP4; EAF6; YAF9; EAF7; ESA1; EAF3	1.02	0.73	1.11	-0.11	0.08	0.06	0.32	NuA4 histone acetyltransferase complex	13.00	4.00	0.31
55	complex55	Baryshnikova2010	YAL021C; YBR279W; YDR138W; YGL244W; YLR418C; YOL145C; YOR123C	CCR4; PAF1; HPR1; RTF1; CDC73; CTR9; LEO1	0.93	-1.38	-1.83	-0.58	-2.01	-2.03	-1.97	Cdc73p/Paf1p complex	7.00	3.00	0.43
293	complex293	Benschop2010 & Baryshnikova2010	YAL016W; YDL134C; YDL188C; YGL190C; YML109W; YMR273C; YOR014W; YPL152W	TPD3; PPH21; PPH22; CDC55; ZDS2; ZDS1; RTS1; RRD2	0.91	0.74	0.74	0.63	0.51	0.79	0.40	protein phosphatase type 2A complex	8.00	6.00	0.75
112	complex112	Benschop2010	YBR087W; YJR068W; YNL290W; YOL094C; YOR144C; YOR217W	RFC5; RFC2; RFC3; RFC4; ELG1; RFC1	0.88	-0.35	-1.70	-2.06	-2.77	-1.05	-1.30	Elg1 RFC-like complex	6.00	1.00	0.17
564	complex564	Benschop2010	YAL001C; YBR123C; YDR362C; YGR047C; YOR110W; YPL007C	TFC3; TFC1; TFC6; TFC4; TFC7; TFC8	0.79	-0.52	-1.79	-0.10	0.11	-0.36	-0.18	transcription factor TFIIIC complex	6.00	1.00	0.17
501	complex501	Benschop2010	YDL132W; YDR054C; YGL252C; YJL047C; YOL133W	CDC53; CDC34; RTG2; RTT101; HRT1	0.77	-1.17	-3.05	0.35	-0.46	0.40	-0.91	SCF ubiquitin ligase complex (JB)	5.00	1.00	0.20
140	complex140	Benschop2010	YDR027C; YDR484W; YJL029C; YJL034W; YKR020W	VPS54; VPS52; VPS53; KAR2; VPS51	0.77	-1.26	0.07	-1.42	-0.50	-1.12	-0.66	GARP complex	5.00	3.00	0.60
486	complex486	Baryshnikova2010	YBL025W; YBR009C; YBR010W; YLR141W; YMR270C; YOR295W	RRN10; HHF1; HHT1; RRN5; RRN9; UAF30	0.76	0.40	0.81	-1.08	NaN	-0.86	-0.18	RNA polymerase I upstream activating factor complex	6.00	2.00	0.33
567	complex567	Benschop2010	YBR254C; YDR108W; YDR246W; YDR407C; YDR472W; YGR166W; YKR068C; YML077W; YMR218C; YOR115C	TRS20; TRS85; TRS23; TRS120; TRS31; TRS65; BET3; BET5; TRS130; TRS33	0.75	-0.33	0.14	-0.65	-0.47	0.11	0.22	TRAPP complex	10.00	2.00	0.20
489	complex489	Baryshnikova2010	YMR075W; YNL330C; YOL004W; YPL139C; YPR023C	RCO1; RPD3; SIN3; UME1; EAF3	0.74	0.99	1.21	-0.06	-0.10	0.26	0.59	Rpd3S complex	5.00	4.00	0.80
210	complex210	Benschop2010 & Baryshnikova2010	YBL090W; YBR146W; YBR251W; YDL045W-A; YDR036C; YDR041W; YDR175C; YDR337W; YDR347W; YER050C; YFR049W; YGL129C; YGR084C; YGR165W; YGR215W; YHL004W; YHR059W; YHR075C; YIL093C; YJR101W; YJR113C; YKL003C; YKL155C; YMR158W; YMR188C; YNL081C; YNL137C; YNL306W; YNR036C; YNR037C; YOR158W; YPL013C; YPL118W; YPR166C	MRP21; MRPS9; MRPS5; MRP10; EHD3; RSM10; RSM24; MRPS28; MRP1; RSM18; YMR31; RSM23; MRP13; MRPS35; RSM27; MRP4; FYV4; PPE1; RSM25; RSM26; RSM7; MRP17; RSM22; MRPS8; MRPS17; SWS2; NAM9; MRPS18; MRPS12; RSM19; PET123; MRPS16; MRP51; MRP2	0.67	0.71	0.48	0.99	0.32	0.66	0.46	mitochondrial small ribosomal subunit	34.00	17.00	0.50
546	complex546	Benschop2010	YAL011W; YBR231C; YDR190C; YDR334W; YDR485C; YFL039C; YGR002C; YJL081C; YLR085C; YLR385C; YLR399C; YML041C; YNL107W; YPL235W	SWC3; SWC5; RVB1; SWR1; VPS72; ACT1; SWC4; ARP4; ARP6; SWC7; BDF1; VPS71; YAF9; RVB2	0.66	0.16	0.44	0.36	0.49	0.67	0.36	SWR1 complex	14.00	7.00	0.50
131	complex131	Benschop2010 & Baryshnikova2010	YCR035C; YDL111C; YDR280W; YGR095C; YGR158C; YGR195W; YHR069C; YHR081W; YNL189W; YNL232W; YNL251C; YNR024W; YOL021C; YOL142W; YOR001W; YOR076C	RRP43; RRP42; RRP45; RRP46; MTR3; SKI6; RRP4; LRP1; SRP1; CSL4; NRD1; MPP6; DIS3; RRP40; RRP6; SKI7	0.60	0.12	0.17	-0.68	-0.49	-0.75	-0.24	exosome (RNase complex)	16.00	3.00	0.19
558	complex558	Baryshnikova2010	YCR081W; YDL140C; YDR443C; YNL025C; YNL030W; YOR151C; YOR290C; YPL042C; YPL181W; YPR186C	SRB8; RPO21; SSN2; SSN8; HHF2; RPB2; SNF2; SSN3; CTI6; PZF1	0.58	0.12	0.23	-0.33	0.47	0.25	0.77	transcription factor complex	10.00	6.00	0.60
557	complex557	Baryshnikova2010	YBR279W; YER164W; YGL207W; YGL244W; YGR063C; YGR116W; YLR418C; YML010W; YNL230C; YOL145C; YOR123C; YPL046C; YPR133C	PAF1; CHD1; SPT16; RTF1; SPT4; SPT6; CDC73; SPT5; ELA1; CTR9; LEO1; ELC1; SPN1	0.56	-0.13	-0.60	-0.50	-0.77	-1.43	-0.99	transcription elongation factor complex	13.00	7.00	0.54
127	complex127	Benschop2010 & Baryshnikova2010	YAL035W; YBR079C; YDR091C; YDR429C; YLR192C; YMR012W; YMR146C; YMR309C; YNL244C; YOR361C; YPR041W	FUN12; RPG1; RLI1; TIF35; HCR1; CLU1; TIF34; NIP1; SUI1; PRT1; TIF5	0.51	0.41	0.99	0.88	1.02	0.74	1.04	eukaryotic translation initiation factor 3 complex	11.00	2.00	0.18
72	complex72	Baryshnikova2010	YDL195W; YDR517W; YHR098C; YIL109C; YLR208W; YNL049C; YPL085W; YPL218W; YPR181C	SEC31; GRH1; SFB3; SEC24; SEC13; SFB2; SEC16; SAR1; SEC23	0.50	0.20	0.17	0.68	0.33	0.56	0.75	COPII vesicle coat	9.00	2.00	0.22
179	complex179	Baryshnikova2010 & Baryshnikova2010	YBL093C; YBR193C; YBR253W; YCR081W; YDL005C; YDL140C; YDR308C; YDR443C; YER022W; YGL025C; YGL127C; YGL151W; YGR104C; YHR041C; YHR058C; YLR071C; YMR112C; YNL025C; YNL236W; YNR010W; YOL051W; YOL135C; YOR174W; YPL042C; YPL129W; YPR070W; YPR168W	ROX3; MED8; SRB6; SRB8; MED2; RPO21; SRB7; SSN2; SRB4; PGD1; SOH1; NUT1; SRB5; SRB2; MED6; RGR1; MED11; SSN8; SIN4; CSE2; GAL11; MED7; MED4; SSN3; TAF14; MED1; NUT2	0.48	-0.04	-0.11	-1.99	-1.11	-1.01	-1.02	Kornberg's mediator (SRB) complex	27.00	10.00	0.37
498	complex498	Baryshnikova2010	YBR081C; YBR111W-A; YBR198C; YCL010C; YDR145W; YDR167W; YDR176W; YDR392W; YDR448W; YER164W; YGL066W; YGL112C; YGR252W; YGR274C; YHR099W; YLR055C; YMR223W; YMR227C; YMR236W; YOL148C; YPL047W; YPL254W	SPT7; SUS1; TAF5; SGF29; TAF12; TAF10; NGG1; SPT3; ADA2; CHD1; SGF73; TAF6; GCN5; TAF1; TRA1; SPT8; UBP8; TAF7; TAF9; SPT20; SGF11; HFI1	0.45	0.05	-0.02	-0.42	-0.23	-0.80	0.19	SAGA complex	22.00	5.00	0.23
173	complex173	Benschop2010	YBR245C; YKR001C; YLR095C; YMR044W; YPL082C	ISW1; VPS1; IOC2; IOC4; MOT1	0.43	0.37	0.41	-0.91	-0.29	-0.37	0.38	ISW1 complex (JB)	5.00	3.00	0.60
491	complex491	Baryshnikova2010	YBL006C; YCR020W-B; YCR052W; YDR303C; YFR037C; YGR056W; YGR275W; YHR056C; YIL126W; YKR008W; YLR033W; YLR321C; YLR357W; YML127W; YMR033W; YMR091C; YPR034W	LDB7; HTL1; RSC6; RSC3; RSC8; RSC1; RTT102; RSC30; STH1; RSC4; RSC58; SFH1; RSC2; RSC9; ARP9; NPL6; ARP7	0.41	NaN	-0.32	0.05	NaN	0.06	NaN	RSC complex (AB)	17.00	3.00	0.18
428	complex428	Benschop2010	YFR009W; YGL195W; YKL029C; YKL104C; YLR180W; YML124C; YMR012W	GCN20; GCN1; MAE1; GFA1; SAM1; TUB3; CLU1	0.40	0.29	0.13	-0.11	0.05	-0.09	0.12	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex	7.00	6.00	0.86
257	complex257	Baryshnikova2010	YBL002W; YBL003C; YBR009C; YBR010W; YDR224C; YDR225W; YNL030W; YNL031C	HTB2; HTA2; HHF1; HHT1; HTB1; HTA1; HHF2; HHT2	0.36	0.24	0.34	-0.37	-0.05	-0.42	-0.11	Nucleosomal protein complex	8.00	6.00	0.75
10	complex10	Baryshnikova2010	YDR245W; YEL036C; YJL183W; YJR075W; YML115C; YPL050C	MNN10; ANP1; MNN11; HOC1; VAN1; MNN9	0.33	-0.39	-2.80	0.78	-0.57	0.85	-0.83	"alpha-1,6-mannosyltransferase complex"	6.00	2.00	0.33
490	complex490	Benschop2010	YBR289W; YCR020W-B; YCR052W; YDR073W; YDR225W; YDR303C; YFL049W; YFR037C; YGL013C; YGR056W; YGR275W; YHL025W; YHR056C; YIL126W; YJL176C; YKR008W; YLR033W; YLR321C; YLR357W; YML127W; YMR033W; YMR091C; YNR023W; YOR156C; YOR290C; YPL016W; YPR034W	SNF5; HTL1; RSC6; SNF11; HTA1; RSC3; SWP82; RSC8; PDR1; RSC1; RTT102; SNF6; RSC30; STH1; SWI3; RSC4; RSC58; SFH1; RSC2; RSC9; ARP9; NPL6; SNF12; NFI1; SNF2; SWI1; ARP7	0.33	-0.40	-0.04	-0.13	0.07	0.06	-0.30	RSC complex (JB)	27.00	7.00	0.26
156	complex156	Benschop2010	YBR009C; YBR010W; YEL056W; YLL022C; YNL030W; YNL031C; YOL054W; YPL001W	HHF1; HHT1; HAT2; HIF1; HHF2; HHT2; PSH1; HAT1	0.31	0.24	0.37	-0.14	-0.09	-0.31	0.06	HAT-A4 complex	8.00	7.00	0.88
413	complex413	Benschop2010	YDR006C; YDR233C; YHR146W; YJL146W; YPL154C	SOK1; RTN1; CRP1; IDS2; PEP4	0.29	0.11	0.14	0.01	-0.13	-0.16	0.26	putative Sok1-Rtn1-Crp1-Ids2-Pep4 complex	5.00	5.00	1.00
528	complex528	Benschop2010	YDR028C; YDR422C; YDR477W; YER027C; YER129W; YGL115W; YGL208W	REG1; SIP1; SNF1; GAL83; SAK1; SNF4; SIP2	0.28	-0.19	0.32	-0.13	-0.23	-0.12	-0.42	snf1 protein kinase complex	7.00	7.00	1.00
466	complex466	Baryshnikova2010	YDR004W; YDR076W; YER095W; YGL163C; YML032C	RAD57; RAD55; RAD51; RAD54; RAD52	0.28	-1.06	-1.44	-1.99	-1.33	-1.41	-1.37	rad51-rad57	5.00	3.00	0.60
488	complex488	Benschop2010 & Baryshnikova2010	YAL013W; YBR095C; YDL076C; YDR207C; YIL084C; YKL185W; YMR075W; YMR263W; YNL097C; YNL330C; YOL004W; YPL139C; YPL181W	DEP1; RXT2; RXT3; UME6; SDS3; ASH1; RCO1; SAP30; PHO23; RPD3; SIN3; UME1; CTI6	0.27	0.12	-0.02	-0.07	0.00	-0.01	-0.02	Rpd3L complex	13.00	10.00	0.77
255	complex255	Benschop2010	YBR247C; YGR081C; YJL010C; YKL143W; YNL178W	ENP1; SLX9; NOP9; LTV1; RPS3	0.27	NaN	NaN	NaN	0.49	0.49	0.14	"nucleolar preribosome, small subunit precursor (GO)"	5.00	1.00	0.20
265	complex265	Benschop2010	YDL232W; YEL002C; YGL022W; YGL226C-A; YJL002C; YML019W; YMR149W; YOR085W; YOR103C	OST4; WBP1; STT3; OST5; OST1; OST6; SWP1; OST3; OST2	0.26	-2.07	-0.75	-0.98	-0.13	-0.45	-0.15	oligosaccharyl transferase complex (GO)	9.00	2.00	0.22
261	complex261	Baryshnikova2010	YDR311W; YER171W; YGR258C; YIL143C; YLR005W; YPL122C; YPR056W	TFB1; RAD3; RAD2; SSL2; SSL1; TFB2; TFB4	0.25	0.16	0.61	0.77	0.11	0.61	0.54	nucleotide-excision repair factor 3 complex	7.00	1.00	0.14
212	complex212	Benschop2010 & Baryshnikova2010	YBL038W; YBR122C; YBR268W; YBR282W; YCR003W; YCR046C; YCR071C; YDL202W; YDR115W; YDR116C; YDR237W; YDR296W; YDR322W; YDR405W; YDR462W; YEL050C; YGL068W; YGR076C; YGR220C; YHR147C; YJL063C; YJL096W; YKL138C; YKL167C; YKL170W; YKR006C; YKR085C; YLR312W-A; YLR439W; YML009C; YML025C; YMR024W; YMR098C; YMR193W; YMR225C; YMR286W; YNL005C; YNL177C; YNL185C; YNL252C; YNL284C; YNR022C; YOR150W; YPL173W; YPL183W-A; YPR100W	MRPL16; MRPL36; MRPL37; MRPL27; MRPL32; IMG1; IMG2; MRPL11; YDR115W; MRPL1; MRPL7; MHR1; MRPL35; MRP20; MRPL28; RML2; MNP1; MRPL25; MRPL9; MRPL6; MRPL8; MRPL49; MRPL31; MRP49; MRPL38; MRPL13; MRPL20; MRPL15; MRPL4; MRPL39; YML6; MRPL3; ATP25; MRPL24; MRPL44; MRPL33; MRP7; MRPL22; MRPL19; MRPL17; MRPL10; MRPL50; MRPL23; MRPL40; RTC6; MRPL51	0.25	0.69	0.20	0.58	0.44	0.45	0.44	mitochondtrial large ribosomal subunit	46.00	29.00	0.63
208	complex208	Baryshnikova2010	YDL067C; YGL187C; YGL191W; YHR051W; YIL111W; YLR038C; YLR395C; YMR256C; YNL052W	COX9; COX4; COX13; COX6; COX5B; COX12; COX8; COX7; COX5A	0.22	0.68	0.23	0.10	0.19	-0.33	0.40	mitochondrial respiratory chain complex IV	9.00	4.00	0.44
178	complex178	Baryshnikova2010	YBR211C; YBR233W-A; YCL029C; YDR320C-A; YDR328C; YDR356W; YDR383C; YFR046C; YGR063C; YIR010W; YJR060W; YJR112W; YKL049C; YKL138C-A; YLR045C; YLR315W; YOR073W; YPL233W	AME1; DAD3; BIK1; DAD4; SKP1; SPC110; NKP1; CNN1; SPT4; DSN1; CBF1; NNF1; CSE4; HSK3; STU2; NKP2; SGO1; NSL1	0.21	-0.10	-0.73	-0.09	0.21	0.29	-0.07	kinetochore	18.00	6.00	0.33
568	complex568	Benschop2010	YDL084W; YDR138W; YDR381W; YHR167W; YML062C; YNL004W; YNL139C; YNL253W	SUB2; HPR1; YRA1; THP2; MFT1; HRB1; THO2; TEX1	0.21	0.50	0.16	-0.13	0.04	-0.53	-0.25	TREX complex	8.00	4.00	0.50
580	complex580	Baryshnikova2010	YBR201W; YDR057W; YLR207W; YML029W; YOL013C	DER1; YOS9; HRD3; USA1; HRD1	0.21	0.06	0.69	0.88	0.53	0.79	0.29	ubiquitin ligase ERAD-L complex	5.00	3.00	0.60
523	complex523	Baryshnikova2010	YBR081C; YBR198C; YDR145W; YDR167W; YDR176W; YDR392W; YDR448W; YER164W; YGL066W; YGL112C; YGL252C; YGR252W; YGR274C; YHR099W; YLR055C; YMR223W; YMR236W; YOL148C; YPL254W	SPT7; TAF5; TAF12; TAF10; NGG1; SPT3; ADA2; CHD1; SGF73; TAF6; RTG2; GCN5; TAF1; TRA1; SPT8; UBP8; TAF9; SPT20; HFI1	0.20	0.16	-0.05	-0.06	-0.25	-0.51	-0.19	SLIK (SAGA-like) complex	19.00	5.00	0.26
473	complex473	Benschop2010	YHR012W; YJL053W; YJL154C; YOR069W; YOR132W; YPL070W	VPS29; PEP8; VPS35; VPS5; VPS17; MUK1	0.19	-1.12	-0.42	-0.42	0.33	-0.02	0.24	retromer complex	6.00	5.00	0.83
554	complex554	Benschop2010	YHR186C; YJR066W; YKL203C; YNL006W; YPL180W	KOG1; TOR1; TOR2; LST8; TCO89	0.19	-0.37	-1.38	0.73	0.13	0.66	-0.60	TORC1 complex (GO)	5.00	2.00	0.40
129	complex129	Baryshnikova2010	YGL049C; YGR162W; YJL138C; YKR059W; YOL139C	TIF4632; TIF4631; TIF2; TIF1; CDC33	0.18	0.08	-0.68	-1.43	-0.21	-1.20	-0.71	eukaryotic translation initiation factor 4F complex (AB)	5.00	4.00	0.80
513	complex513	Benschop2010	YDL051W; YDL092W; YKL122C; YML105C; YPL210C; YPL243W; YPR088C	LHP1; SRP14; SRP21; SEC65; SRP72; SRP68; SRP54	0.18	0.04	0.30	-0.44	0.07	0.13	-0.20	signal recognition particle	7.00	1.00	0.14
205	complex205	Baryshnikova2010	YDL130W-A; YDL181W; YDR298C; YGR008C; YKL016C; YPL078C	STF1; INH1; ATP5; STF2; ATP7; ATP4	0.17	0.56	0.46	0.87	0.92	0.86	0.59	mitochondrial proton-transporting ATP synthase complex	6.00	4.00	0.67
71	complex71	Baryshnikova2010	YAL007C; YAL042W; YAR002C-A; YDL195W; YGL200C; YIL109C; YLR208W; YML012W; YPL085W; YPL218W; YPR181C	ERP2; ERV46; ERP1; SEC31; EMP24; SEC24; SEC13; ERV25; SEC16; SAR1; SEC23	0.16	-1.28	-0.37	-0.62	-0.44	-0.56	0.02	COPII	11.00	4.00	0.36
